EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	AVG[arb.u.]	Norm[arb.u.]
64.19	428.2295854	-1.381441876	-1.537664194	-1.548579284	-1.403954274	-2.14754521	-1.603836968	-0.006578866
64.206	428.3363259	-2.094334106	-2.595064127	-2.281255138	-2.436795259	-2.792900271	-2.44006978	-0.010009055
64.222	428.4430664	-2.552768153	-2.50706119	-2.994829548	-2.620987493	-3.01802414	-2.738734105	-0.011234163
64.238	428.5498069	-3.70294641	-3.27589328	-3.37140038	-2.94093627	-3.70362862	-3.398960992	-0.013942384
64.254	428.6565475	-2.59301756	-3.21722463	-3.93284564	-3.82710565	-4.0126623	-3.516571156	-0.014424815
64.27	428.763288	-4.86881515	-4.3469371	-5.40024389	-4.1477366	-5.25971204	-4.804688956	-0.019708616
64.286	428.8700285	-4.9172509	-5.05164302	-5.9896591	-6.0838018	-6.18885961	-5.646242886	-0.023160632
64.302	428.976769	-7.0736646	-6.1813555	-6.68208553	-6.50403301	-6.58384966	-6.60499766	-0.0270934
64.318	429.0835095	-7.96733815	-7.54915354	-7.87592421	-7.54301375	-7.88820371	-7.764726672	-0.031850556
64.334	429.19025	-8.45647083	-9.7656002	-9.13457128	-9.12160957	-10.1660479	-9.328859956	-0.03826656
64.35	429.2969905	-10.1899247	-10.49554729	-10.93487975	-11.04539527	-10.56308443	-10.64576629	-0.04366845
64.366	429.403731	-12.0332115	-13.5156181	-12.5550894	-13.0360359	-12.9937401	-12.826739	-0.052614701
64.382	429.5104715	-14.0443179	-14.9236654	-13.9870138	-15.7757251	-15.800284	-14.90620124	-0.06114456
64.398	429.6172121	-16.5813957	-16.8556374	-16.9497801	-16.3296664	-17.9744348	-16.93818288	-0.069479657
64.414	429.7239526	-17.7172479	-19.3770247	-18.5802227	-18.192737	-17.9935362	-18.3721537	-0.07536174
64.43	429.8306931	-18.3537345	-20.5770031	-19.04275	-19.3838467	-19.346326	-19.34073206	-0.079334804
64.446	429.9374336	-18.1770465	-20.5265209	-18.3571454	-16.6687165	-18.1804574	-18.38197734	-0.075402036
64.462	430.0441741	-13.984285	-16.5472863	-15.3247951	-14.9918849	-14.5791579	-15.08548184	-0.061879961
64.478	430.1509146	-9.21029475	-9.5479805	-9.27919636	-7.58462754	-7.28173364	-8.580766558	-0.035197915
64.494	430.2576551	2.425880158	1.973585852	2.631220413	4.2009477	4.74738471	3.195803767	0.013109042
64.51	430.3643956	18.1893259	19.1750955	18.46425	18.8865276	21.169147	19.1768692	0.078662646
64.526	430.4711361	39.5406185	42.129543	41.124672	43.3452118	43.0887072	41.8457505	0.171649368
64.542	430.5778766	67.0159625	69.5946541	70.7912215	70.75029	74.8141166	70.59324894	0.2895703
64.558	430.6846172	99.3485244	106.357381	105.823225	105.959662	110.928077	105.6833739	0.433508399
64.574	430.7913577	136.191069	145.69539	146.932887	146.024886	146.968362	144.3625188	0.592168494
64.59	430.8980982	174.573321	184.044213	182.327815	184.074231	185.280349	182.0599858	0.746801791
64.606	431.0048387	210.598598	219.231075	219.349093	216.543912	219.529192	217.050374	0.890330774
64.622	431.1115792	234.197717	243.390276	245.311333	239.675049	238.964885	240.307852	0.985731892
64.638	431.2183197	242.747647	249.1514	248.620654	240.242634	238.168765	243.78622	1
64.654	431.3250602	221.12348	226.907114	225.29714	212.877123	212.285663	219.698104	0.901191642
64.67	431.4318007	174.740458	173.520014	172.940832	162.121244	157.893009	168.2431114	0.6901256
64.686	431.5385412	99.8635801	93.6474333	91.4575921	81.97442	72.9326272	87.97513054	0.360869989
64.702	431.6452818	3.975823835	-5.00661824	-4.85926445	-21.0961522	-30.577278	-11.51269781	-0.047224563
64.718	431.7520223	-94.474934	-106.306898	-107.206031	-123.277825	-126.34838	-111.5228136	-0.457461515
64.734	431.8587628	-193.193794	-204.872946	-212.200388	-212.611751	-215.901287	-207.7560332	-0.85220581
64.75	431.9655033	-264.63924	-279.341191	-282.4479	-279.086732	-279.919692	-277.086951	-1.136598086
64.766	432.0722438	-310.850346	-323.138016	-322.231381	-313.144563	-310.790312	-316.0309236	-1.296344492
64.782	432.1789843	-314.688366	-322.650931	-319.560592	-307.133074	-297.456839	-312.2979604	-1.281032047
64.798	432.2857248	-276.867558	-278.363609	-275.87019	-263.948177	-250.194473	-269.0488014	-1.103625961
64.814	432.3924653	-201.30644	-201.591597	-201.009002	-183.209891	-175.366713	-192.4967286	-0.789612836
64.83	432.4992058	-128.671248	-127.188159	-124.176958	-113.076305	-106.861521	-119.9948382	-0.492213375
64.846	432.6059463	-68.2664234	-64.2612653	-58.0185123	-57.3956695	-56.1206498	-60.81250406	-0.249450129
64.862	432.7126869	-31.9805502	-31.8134127	-28.1841431	-29.4161846	-29.5921905	-30.19729622	-0.123867937
64.878	432.8194274	-17.580127	-20.6377182	-17.6381135	-18.5106392	-19.2583231	-18.7249842	-0.076809035
64.894	432.9261679	-15.3138801	-16.7881003	-14.9993888	-15.7927801	-16.8399471	-15.94681928	-0.065413128
64.91	433.0329084	-12.22354348	-10.99423076	-9.4859009	-9.63734777	-9.07863135	-10.28393085	-0.042184217
64.926	433.1396489	-0.079816635	-0.027969938	2.499557049	2.423151391	2.275797582	1.41814389	0.005817162
64.942	433.2463894	10.10055724	11.5345281	15.2388389	13.7598433	13.773487	12.88145091	0.052839126
64.958	433.3531299	19.83273	20.8955876	21.7094444	20.5981512	20.6111128	20.7294052	0.085031078
64.974	433.4598704	25.1913601	24.958732	24.3495334	25.5836212	24.6456052	24.94577038	0.102326417
64.99	433.5666109	28.434508	28.7162541	27.4255436	27.8703341	27.697739	28.02887576	0.114973175
65.006	433.6733514	35.0783908	36.9960368	35.0688401	36.7599977	35.2441638	35.82948584	0.146970923
