EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	ST5[arb.u.]	ST6[arb.u.]	AVG[arb.u.]	Norm[arb.u.]
64.19	428.2295854	-7.12482913	-7.43795594	-7.55051793	-6.87923946	-6.75644463	-5.84639846	-7.14051956	-6.962272159	-0.175905133
64.206	428.3363259	-7.69104973	-7.05456319	-7.28514459	-7.09890578	-7.36427908	-7.72925261	-7.45159981	-7.382113541	-0.186512627
64.222	428.4430664	-7.71083335	-7.83294602	-6.80624475	-7.01294938	-7.31311453	-6.4944823	-7.6828634	-7.264776247	-0.183548044
64.238	428.5498069	-7.17394706	-6.84990513	-6.8655956	-7.21010331	-8.04647257	-7.27013635	-7.69718949	-7.301907073	-0.184486172
64.254	428.6565475	-8.03487529	-7.69173194	-7.12346474	-7.60850432	-8.33708701	-6.4419534	-8.21360994	-7.63588952	-0.192924398
64.27	428.763288	-7.60713994	-7.61191527	-7.8806995	-7.45296419	-6.80283379	-8.02737115	-7.23125131	-7.516310736	-0.189903183
64.286	428.8700285	-8.34118017	-7.42158333	-7.39497778	-7.36018588	-7.78519249	-7.65966886	-7.36359681	-7.618055046	-0.192473802
64.302	428.976769	-7.70742239	-8.03282868	-7.74767181	-8.36437474	-7.86500909	-7.78519245	-8.15357697	-7.950868019	-0.20088248
64.318	429.0835095	-8.97971333	-7.85955155	-7.18827312	-8.57380817	-8.24908403	-7.94005039	-9.17754944	-8.281147147	-0.20922714
64.334	429.19025	-7.09890576	-8.58472331	-8.03692185	-8.59154522	-8.60928223	-8.76686894	-8.21838537	-8.272376097	-0.209005536
64.35	429.2969905	-7.73266355	-8.76482239	-9.13388904	-8.8275842	-8.9380996	-8.34868432	-7.63783867	-8.483368824	-0.214336368
64.366	429.403731	-8.52400806	-8.64066312	-8.66795089	-7.94687231	-8.69319204	-9.26009482	-8.46806818	-8.600121346	-0.217286176
64.382	429.5104715	-8.59359178	-8.9456037	-8.84804994	-9.13388907	-8.51445736	-9.77310436	-8.1528948	-8.851655859	-0.223641316
64.398	429.6172121	-9.20483729	-9.18914674	-9.11819855	-8.94901462	-8.31798559	-8.66181113	-9.47907889	-8.98858183	-0.227100816
64.414	429.7239526	-8.98175991	-9.440194	-8.82826633	-9.57799699	-10.11488319	-9.23348928	-9.06771628	-9.32061514	-0.235489796
64.43	429.8306931	-10.28543159	-10.16400123	-9.30375523	-9.42723225	-9.79425229	-8.55061353	-8.94423922	-9.495646477	-0.239912046
64.446	429.9374336	-8.96811595	-9.76150712	-8.19041539	-8.73344149	-9.47430364	-9.36651696	-8.88352403	-9.05397494	-0.228753004
64.462	430.0441741	-8.9060364	-8.34731988	-8.90467199	-9.24303995	-8.60382471	-8.48716961	-9.08886427	-8.797275259	-0.222267364
64.478	430.1509146	-7.15484565	-6.80283377	-7.08389751	-6.96792462	-6.87719287	-7.12619352	-7.79678971	-7.115668236	-0.179780759
64.494	430.2576551	-5.12463771	-4.54818421	-4.08702139	-4.62663645	-5.24470378	-4.92407283	-5.50257293	-4.865404186	-0.122926762
64.51	430.3643956	-1.55403684	-1.07036163	-1.10720009	-1.579960179	-2.06977514	-2.32696208	-2.91978826	-1.804012031	-0.045579226
64.526	430.4711361	2.659872539	4.06928435	3.85643998	2.687842474	2.983232258	1.957895393	1.931972039	2.878077005	0.072715991
64.542	430.5778766	8.32412532	8.91490495	8.75049632	8.28114719	8.98448871	8.48375865	6.94200126	8.382988914	0.211800221
