EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
64.93	433.16633402432	0.110515353	0.3772530172	-1.2450031822	0.452976487	0.7156210074	0.08227253648	0.000608293353862331	
64.946	433.273074534784	-0.125523603	0.644672889	-0.6542235913	0.264008895	-0.451612109	-0.06453550386	-0.000477152155090512	
64.962	433.379815045247	-0.293343218	-0.762692358	0.348600896	-0.782475972	-0.9932737661	-0.49663688362	-0.00367195334572412	
64.978	433.48655555571	-0.143260648	-0.8936735173	0.533475333	-0.2619623	-1.178830426	-0.38885031166	-0.00287501844904921	
64.994	433.593296066174	-1.255236079	-1.850791015	-2.354249837	-0.2681020538	-0.8875337697	-1.3231825509	-0.00978313281801806	
65.01	433.700036576637	-0.961892868	-1.4244200737	-2.502968022	-2.14413423	-1.829643025	-1.77261164374	-0.0131060488469095	
65.026	433.806777087101	-2.073868293	-2.910237562	-2.5950641354	-2.543899634	-2.00564895	-2.42574371488	-0.0179350709612986	
65.042	433.913517597564	-2.770387878	-2.283983898	-1.708894762	-2.50910777	-1.560858782	-2.166646618	-0.0160194008144879	
65.058	434.020258108028	-1.85965955	-4.16274487	-3.28885496	-4.86608638	-3.28680837	-3.492830826	-0.0258247267985687	
65.074	434.126998618491	-4.26984922	-4.81833285	-5.12941309	-4.70577091	-4.47109634	-4.678892482	-0.0345940373544811	
65.09	434.233739128954	-4.35853441	-5.76385303	-4.55705273	-4.7794478	-5.10280752	-4.912339098	-0.0363200571305818	
65.106	434.340479639418	-6.41057252	-6.1281444	-6.16225406	-6.91744228	-5.78090789	-6.27986423	-0.0464310429422023	
65.122	434.447220149881	-7.86091593	-7.3854271	-6.77691043	-7.37519415	-6.6002223	-7.199733982	-0.0532322269156248	
65.138	434.553960660345	-7.94209695	-7.83976793	-7.83635694	-8.63998098	-9.28397158	-8.308434876	-0.0614295600002243	
65.154	434.660701170808	-8.42918314	-9.67827947	-8.71434002	-9.05475453	-8.62838369	-8.90098817	-0.0658106845646414	
65.17	434.767441681271	-10.52010634	-10.59855851	-9.99345283	-9.25259074	-9.26009484	-9.924960652	-0.0733815664407573	
65.186	434.874182191735	-9.81744695	-9.61892868	-8.64475632	-9.25190852	-9.55207369	-9.377022832	-0.0693303125412639	
65.202	434.980922702198	-7.41135041	-8.68023033	-8.38688712	-7.78996779	-7.35882148	-7.925451426	-0.0585979190026127	
65.218	435.087663212662	-4.77057929	-4.28826847	-4.45131271	-3.426658046	-5.13896379	-4.4151564612	-0.0326440686833956	
65.234	435.194403723125	0.5832754652	1.346650003	0.868432346	1.972221476	0.65831675	1.08577920804	0.00802785843576361	
65.25	435.301144233588	8.85964721	10.07463398	10.77865758	10.5317036	9.72125768	9.99318001	0.0738859556798838	
65.266	435.407884744052	21.5586796	21.6037045	21.4461177	21.5225235	20.7482337	21.3758518	0.158045310615251	
65.282	435.514625254515	36.7995649	36.2967885	36.9728422	36.9148557	35.4481397	36.4864382	0.26976751675286	
65.298	435.621365764979	55.4159439	54.7460299	55.61992	54.9042988	53.3147879	54.8001961	0.405172813482977	
65.314	435.728106275442	76.8736591	76.7938425	76.7433601	76.6642257	75.7589548	76.56680844	0.566107266084162	
65.33	435.834846785905	97.8374661	99.4576746	98.4521222	98.1703765	96.5515309	98.09383406	0.725270301202854	
65.346	435.941587296369	118.522256	118.351025	117.56855	119.074834	116.466125	117.996558	0.872423837661546	
65.362	436.048327806832	133.572126	134.579727	132.224112	131.775911	130.363088	132.5029928	0.979679165558508	
65.378	436.155068317296	136.227906	136.789351	134.935151	134.287065	134.017599	135.2514144	1	
65.394	436.261808827759	126.234454	125.818999	120.275493	120.871731	122.464652	123.1330658	0.910401317030515	
65.41	436.368549338223	96.2193029	95.7383563	91.2331505	91.3900548	91.3122849	93.17862988	0.688929060693062	
65.426	436.475289848686	46.5651653	48.8928094	43.8070569	45.2403455	46.3652828	46.17413198	0.341394817827502	
65.442	436.582030359149	-8.0007656	-9.00904776	-9.32353891	-10.13125586	-8.08740418	-8.910402462	-0.0658802904319203	
65.458	436.688770869613	-64.8854722	-66.2266648	-67.7199864	-66.3985776	-66.1072808	-66.26759636	-0.489958620055658	
