EO pos[mm]	Time[ps]	ST0[arb.u.]	ST1[arb.u.]	ST2[arb.u.]	ST3[arb.u.]	ST4[arb.u.]	ST5[arb.u.]	ST6[arb.u.]	ST7[arb.u.]	ST8[arb.u.]	ST9[arb.u.]	AVG[arb.u.]	Norm[arb.u.]	
64.93	433.16633402432	-6.09539909	-6.35531484	-6.6022689	-6.49038914	-7.37178315	-6.64592927	-7.4754766	-5.72565023	-6.89083674	-6.77486384	-6.64279118	-0.468137478144215	
64.946	433.273074534784	-5.89756297	-6.45696165	-6.32393393	-7.24489518	-5.16625153	-6.4119369	-6.75576242	-6.33075587	-5.92007536	-6.43581366	-6.294394947	-0.443584947514829	
64.962	433.379815045247	-6.63160321	-6.5272276	-6.43376711	-6.54087142	-6.33826	-6.65957314	-6.74143636	-6.3164298	-7.30833918	-6.33962439	-6.583713221	-0.463974076647652	
64.978	433.48655555571	-7.16712513	-6.55792631	-6.99589454	-7.31038578	-6.69641159	-6.44877533	-6.35599702	-6.88606138	-6.31233664	-6.74962268	-6.74805364	-0.47555564036434	
64.994	433.593296066174	-6.16634721	-6.28027355	-6.85126952	-6.08653059	-6.43035612	-6.60090451	-6.39351767	-6.87037094	-6.93654372	-6.55997289	-6.517608672	-0.459315490215507	
65.01	433.700036576637	-7.5600686	-7.14256615	-6.28709548	-6.43581367	-7.30492818	-6.16157188	-6.82261739	-6.36145457	-6.0619716	-6.74075418	-6.68788417	-0.471315316803984	
65.026	433.806777087101	-6.93654371	-7.5375562	-6.88674358	-6.38055598	-6.76258437	-6.92562862	-7.46115056	-6.22774465	-6.65070462	-7.88683924	-6.965605153	-0.490887149951591	
65.042	433.913517597564	-6.59612918	-6.63092101	-6.71483083	-6.34576414	-7.04978783	-6.69845817	-6.64251831	-6.44809315	-7.09276603	-6.83694346	-6.705621211	-0.472565299442078	
65.058	434.020258108028	-6.89220114	-7.53550963	-6.42762735	-7.11664281	-7.3820161	-7.20942112	-6.990437	-7.00544527	-6.62955662	-6.46173703	-6.965059407	-0.490848689589189	
65.074	434.126998618491	-6.37305186	-6.36281895	-7.61464406	-8.06011644	-7.37792292	-7.04091931	-6.6650307	-7.45910398	-6.90789159	-7.02045351	-7.088195332	-0.499526448657095	
65.09	434.233739128954	-6.9365437	-7.88615708	-7.25171712	-6.52586322	-7.09685917	-6.97883972	-7.09140163	-6.68754308	-6.98497945	-7.32948714	-7.076939131	-0.498733190310289	
65.106	434.340479639418	-8.27023205	-6.52381662	-7.99940122	-7.14188396	-7.64397838	-6.7373432	-7.24557737	-7.00203428	-7.05865634	-7.11391402	-7.273683744	-0.512598375060576	
65.122	434.447220149881	-6.77145287	-7.6958251	-6.91812447	-6.44331779	-8.31116363	-7.06820706	-7.28378021	-7.84795426	-7.28582679	-7.21556087	-7.284121305	-0.513333941383845	
65.138	434.553960660345	-6.69777598	-6.74689391	-7.30561042	-7.44477787	-7.28855557	-8.15562349	-8.18700442	-8.0048588	-7.75722251	-7.5573398	-7.514566277	-0.529574091814571	
65.154	434.660701170808	-6.88265043	-8.02054921	-7.09344824	-7.48980271	-8.23612236	-7.73743895	-6.922899834	-7.33153376	-8.1488016	-7.31243235	-7.5175679444	-0.529785628346246	
65.17	434.767441681271	-7.17940461	-7.82680626	-7.61532626	-7.7790527	-7.34244886	-7.28241581	-6.9467766	-7.10163455	-7.30765696	-7.28991996	-7.367144257	-0.519184818571493	
65.186	434.874182191735	-6.98907257	-7.20805672	-7.93936818	-7.45773961	-7.41885452	-7.8322638	-8.01918476	-7.28514462	-7.23602666	-7.1466593	-7.453237074	-0.525252038380849	
65.202	434.980922702198	-6.99521235	-7.53892058	-7.40657504	-6.83694345	-6.21751173	-6.5586085	-7.18076899	-7.41271479	-7.18076899	-6.50812618	-6.98361506	-0.492156362277575	
65.218	435.087663212662	-6.77077068	-5.87027524	-6.93790811	-5.89278763	-6.46378359	-6.55315095	-6.02990853	-6.18476644	-5.64310479	-6.34917508	-6.269563104	-0.441834972836309	
65.234	435.194403723125	-5.01821552	-5.21468727	-5.06801566	-5.20445436	-5.8634533	-5.16079398	-4.66279271	-4.90770016	-4.77262586	-4.9895634	-5.086230222	-0.358441944789234	
65.25	435.301144233588	-2.67283418	-3.46622527	-3.979234787	-3.708404	-4.01402669	-3.351616771	-3.33046878	-2.573916151	-3.15446282	-3.12649289	-3.3377682339	-0.235222568542011	
65.266	435.407884744052	-0.367020106	-2.46476517	-2.68852466	-2.050673718	-0.96803259848	-2.514565314	-1.515151807	-0.8629748122	-1.3766665252	-1.526066908	-1.633444161888	-0.115113724022804	
65.282	435.514625254515	2.4947817148	1.11538640748	0.525289	1.476948956	1.16450433	1.4564831844	2.028161332	1.551990263	1.5478970824	0.72448952078	1.408593179086	0.0992677988394123	
65.298	435.621365764979	4.42538936	4.21459157	3.93421003	3.80391107	4.70577088	3.90624008	4.83265889	4.33465763	3.992196493	3.164013543	4.1313639546	0.291149646375359	
65.314	435.728106275442	8.83031291	7.97552444	7.75995129	7.73198136	6.64934025	6.73938979	7.27832267	7.24625956	7.94414354	6.79737624	7.495260205	0.528213534841748	
65.33	435.834846785905	10.14558215	10.42187026	10.57468172	11.2957602	10.88576202	10.12716276	10.10055722	10.75068756	10.58423242	10.70975605	10.559605236	0.744167147728929	
65.346	435.941587296369	13.1192636	12.3477027	14.5682425	12.9848716	13.4051027	12.8075012	12.2194503	13.1806609	12.2801654	12.17442553	12.908738643	0.909717645882223	
65.362	436.048327806832	14.6630676	14.3062803	15.2804526	13.8396599	14.639873	13.529944	13.9522218	13.8280627	13.8301095	14.0286275	14.18982989	1	
65.378	436.155068317296	13.1226744	13.91743	14.1909895	14.5798399	14.6023523	14.6576099	13.2802613	12.5339416	12.6963037	12.36680405	13.594820665	0.958067909931794	
65.394	436.261808827759	9.67282197	10.89735906	11.80399444	11.39945375	11.35988638	11.16887231	10.32158794	9.53979405	9.22120981	10.08282025	10.546779996	0.74326331448361	
65.41	436.368549338223	3.90419353	5.75225578	7.00271647	6.31915858	5.83889434	5.41115902	5.06528689	4.76375735	3.82915223	4.13204616	5.201862035	0.366590866509676	
65.426	436.475289848686	-5.29382171	-2.53912428	-1.85556637	-1.855566389	-3.221999993	-3.29977007	-3.88850306	-3.86599068	-3.71317934	-3.115577813	-3.2649099705	-0.230088027538715	
65.442	436.582030359149	-12.6444569	-12.51484	-10.80048783	-11.4144621	-12.5714622	-12.1689682	-13.343023	-13.6254513	-12.384541	-12.2644752	-12.373216773	-0.871977808678297	
65.458	436.688770869613	-22.384816	-21.7933543	-22.2422375	-22.3800405	-21.2046212	-21.1350375	-22.2490595	-23.4585885	-22.6515537	-22.2272293	-22.1726538	-1.56257361588427	
65.474	436.795511380076	-30.6154808	-29.6863333	-30.9954626	-30.1092933	-31.6606015	-30.2286769	-30.4954149	-30.8064951	-30.9981915	-30.429242	-30.60251919	-2.1566515897112	
65.49	436.90225189054	-35.2448461	-37.0731246	-37.204788	-37.1099629	-37.4878983	-36.908716	-36.5328273	-36.178769	-36.3070212	-36.7947898	-36.68427432	-2.58525116963189	
65.506	437.008992401003	-39.1490396	-39.7712001	-40.1805161	-40.2767054	-40.5311635	-39.7650603	-40.0086033	-38.87548	-38.7322192	-38.0015899	-39.52915774	-2.78573866257955	
65.522	437.115732911466	-38.1148342	-39.3311853	-40.0045101	-39.1081078	-40.0331625	-39.8141781	-38.0329709	-37.8023896	-37.3118923	-37.4885805	-38.70418113	-2.72760007907325	
65.538	437.22247342193	-33.3967838	-33.6901271	-34.4719207	-34.2734023	-34.3081943	-34.1601584	-32.8319276	-33.3040055	-32.3161891	-32.2220466	-33.49747554	-2.36066787267173	
65.554	437.329213932393	-27.3279902	-27.1192391	-28.113877	-28.1855075	-26.8552301	-26.3913384	-26.3974782	-24.867318	-25.3175659	-25.226152	-26.58016964	-1.873184516379	
65.57	437.435954442857	-17.3393129	-19.2214847	-19.9964564	-18.9827168	-18.2166136	-18.140208	-17.6517574	-17.7602261	-17.8925717	-17.3365839	-18.25379315	-1.28639971666355	
65.586	437.54269495332	-10.77320001	-10.30930848	-10.37889218	-10.16741229	-10.49691179	-10.42050603	-10.0773627	-10.76978922	-10.02415167	-10.94033749	-10.435787186	-0.735441317260217	
65.602	437.649435463783	-5.4418577	-6.0749333	-6.2018213	-6.43717805	-5.27949563	-5.76794622	-5.05096083	-5.70450221	-5.8961986	-5.92689729	-5.778179113	-0.407205664746697	
65.618	437.756175974247	-3.99833621	-3.99287867	-2.31331822648	-2.97299935	-2.801086602	-3.288172768	-2.890453946	-3.40823884	-3.77594114	-3.24928773	-3.269071348248	-0.230381292347402	
65.634	437.86291648471	-2.70080415	-2.0963806721	-3.45803895	-2.413600674	-2.430655514	-2.532302338	-2.9559445083	-3.026210458	-2.780620772	-3.20630954	-2.76008675764	-0.194511617055051	
65.65	437.969656995174	-3.33387973	-2.366529321	-2.076597083	-3.37481135	-2.471587109	-3.72409443	-1.964035149	-3.00847342	-1.914917202	-3.15992038	-2.7394845174	-0.193059715207058	
65.666	438.076397505637	-1.6966152763	-2.00292019	-2.19256998	-1.929925477	-1.690475544	-2.994147364	-1.6870645696	-1.698661872	-2.124350609	-2.123668435	-2.01403993169	-0.141935452877371	
65.682	438.1831380161	-1.2211264008	-1.957895398	-1.307082783	-1.690475557	-1.7784785104	-1.773020958	-1.457165364	-1.674785087	-1.873985595	-2.214400159	-1.69484158122	-0.119440584866659	
65.698	438.289878526564	-0.760645776	-0.959846279	-1.931289847	-0.944155833	-0.75928138648	-1.22863052	-0.929829757	-0.9919093803	-1.025336853	-1.48308871	-1.101401434178	-0.0776190724424533	
65.714	438.396619037027	-1.2954854858	-1.2600114372	-1.2716087343	-0.5457548266	-0.950295577	-0.6207961099	-1.152907051	-1.427831032	-1.211575698	-1.416915943	-1.11531818948	-0.0785998280547393	
65.73	438.503359547491	-1.685017997	-1.206118154	-1.046484856	-0.925736613	-1.672056316	-0.892309125	-1.310493755	-1.9046843012	-0.8479665467	-0.115290712	-1.16061583759	-0.0817920895871994	
65.746	438.610100057954	-1.323455419	-1.315951298	-0.869796725	-0.896402275	-0.738133385	-0.821360994	-0.767467713	-1.260011427	-1.325502005	-0.9782655036	-1.02963467446	-0.0725614529872282	
65.762	438.716840568417	-1.052624606	-0.920279053	0.00682193639999988	-0.000682198000000037	-0.4345572578	-1.039662932	-0.697883965	-0.2660554752	-1.014421757	-0.671278416	-0.60906237236	-0.042922457639131	
65.778	438.823581078881	-0.7947554558	-0.810445902	-1.960624181	-0.504141007	-0.28174594	-0.154857919	-0.645355064	-0.545072617	-0.289250039	-0.1166550966	-0.61029032214	-0.0430089949542024	
65.794	438.930321589344	-1.691157734	-0.712892215	-0.70743468	-0.8404624116	-1.616116441	-0.858199452	-1.060128734	-0.532110949	-1.743686643	-1.4264666536	-1.11886559132	-0.0788498241341496	
65.81	439.037062099808	-1.861023916	-1.768927808	-1.350743152	-1.98995851	-1.2566004633	-1.5581300057	-1.987911933	-2.370622481	-1.989958499	-1.553354646	-1.7687231414	-0.124647240672453	
65.826	439.143802610271	-2.77720981	-2.064317594	-3.068506466	-2.44702815	-2.52002288	-1.865117081	-2.326962105	-2.541170859	-2.621669706	-3.07055303	-2.5302557681	-0.178314735815342	
65.842	439.250543120735	-2.683067123	-2.69398222	-2.959355479	-2.55959008	-2.6960287752	-2.415647274	-2.595746335	-3.22472876	-2.80654414	-2.7171767978	-2.7351866984	-0.192756834972882	
65.858	439.357283631198	-1.88694728	-2.63531358	-3.084879099	-3.11557781	-2.831103122	-3.25952064	-3.223364388	-2.309907269	-3.13604362	-3.34138386	-2.8824040668	-0.203131685802049	
